assembly_accession,strain_name,assembly_level,biosample,bioproject,isolation_source_original,host,geo_loc_name,country,collection_date,collection_year,submission_date,serotype,notes
GCF_000871845.1,dengue virus type 2 (viruses),Complete Genome,,,,,,,,,2007/11/01 00:00,DENV-2,
GCF_000866625.1,dengue virus type 3 (viruses),Complete Genome,,,,,,,,,2007/12/20 00:00,DENV-3,
GCF_000865065.1,dengue virus type 4 (viruses),Complete Genome,,,,,,,,,2001/01/12 00:00,DENV-4,
GCF_000862125.1,dengue virus type 1 (viruses),Complete Genome,,,,,,,,,2000/08/01 00:00,DENV-1,
